,name,state,url,party,margin
Goldstein,Goldstein,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/gold/,LIB,12.7
Gorton,Gorton,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/gort/,ALP,18.5
Grayndler,Grayndler,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/gray/,ALP,15.8
Greenway,Greenway,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/gree/,ALP,6.3
Grey,Grey,SA,https://www.abc.net.au/news/elections/federal/2019/guide/grey/,LIB,7.8
Griffith,Griffith,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/grif/,ALP,1.4
Groom,Groom,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/groo/,LNP,15.3
Hasluck,Hasluck,WA,https://www.abc.net.au/news/elections/federal/2019/guide/hasl/,LIB,2.1
Herbert,Herbert,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/herb/,ALP,0.02
Higgins,Higgins,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/higg/,LIB,7.4
Hindmarsh,Hindmarsh,SA,https://www.abc.net.au/news/elections/federal/2019/guide/hind/,ALP,8.4
Hinkler,Hinkler,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/hink/,LNP,8.4
Holt,Holt,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/holt/,ALP,9.9
Hotham,Hotham,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/hoth/,ALP,4.2
Hughes,Hughes,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/hugh/,LIB,9.3
Hume,Hume,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/hume/,LIB,10.2
Hunter,Hunter,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,ALP,12.5
Indi,Indi,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/indi/,IND,5.5
Isaacs,Isaacs,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/isaa/,ALP,3.0
Jagajaga,Jagajaga,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/jaga/,ALP,5.6
Kennedy,Kennedy,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/kenn/,KAP,11.0
Kingsford Smith,Kingsford Smith,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/ksmi/,ALP,8.6
Kingston,Kingston,SA,https://www.abc.net.au/news/elections/federal/2019/guide/king/,ALP,13.5
Kooyong,Kooyong,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/kooy/,LIB,12.8
La Trobe,La Trobe,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/ltro/,LIB,3.2
Lalor,Lalor,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/lalo/,ALP,14.2
Leichhardt,Leichhardt,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/leic/,LNP,3.9
Lilley,Lilley,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/lill/,ALP,5.7
Lindsay,Lindsay,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,ALP,1.1
Lingiari,Lingiari,NT,https://www.abc.net.au/news/elections/federal/2019/guide/ling/,ALP,8.2
Longman,Longman,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/long/,ALP,0.8
Lyne,Lyne,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,NAT,11.6
Lyons,Lyons,TA,https://www.abc.net.au/news/elections/federal/2019/guide/lyon/,ALP,3.8
Macarthur,Macarthur,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/maca/,ALP,8.3
Mackellar,Mackellar,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/mack/,LIB,15.7
Macnamara,Macnamara,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/macn/,ALP,1.2
Macquarie,Macquarie,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/macq/,ALP,2.2
Makin,Makin,SA,https://www.abc.net.au/news/elections/federal/2019/guide/maki/,ALP,10.8
Mallee,Mallee,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/mall/,NAT,19.8
Maranoa,Maranoa,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/mara/,LNP,17.5
Maribyrnong,Maribyrnong,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/mari/,ALP,10.4
Mayo,Mayo,SA,https://www.abc.net.au/news/elections/federal/2019/guide/mayo/,CA,2.9
McEwen,McEwen,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/mcew/,ALP,6.0
McMahon,McMahon,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/mcma/,ALP,12.1
McPherson,McPherson,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/mcph/,LNP,11.6
Melbourne,Melbourne,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/melb/,GRN,19.0
Menzies,Menzies,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/menz/,LIB,7.8
Mitchell,Mitchell,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/mitc/,LIB,17.8
Monash,Monash,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/mona/,LIB,7.5
Moncrieff,Moncrieff,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/monc/,LNP,14.6
Moore,Moore,WA,https://www.abc.net.au/news/elections/federal/2019/guide/moor/,LIB,11.0
Moreton,Moreton,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/more/,ALP,4.0
New England,New England,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/neng/,NAT,16.4
Newcastle,Newcastle,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/newc/,ALP,13.8
Nicholls,Nicholls,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/nich/,NAT,22.5
North Sydney,North Sydney,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/nsyd/,LIB,13.6
O'Connor,O'Connor,WA,https://www.abc.net.au/news/elections/federal/2019/guide/ocon/,LIB,15.0
Oxley,Oxley,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/oxle/,ALP,9.0
Page,Page,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/page/,NAT,2.3
Parkes,Parkes,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/park/,NAT,15.1
Parramatta,Parramatta,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/parr/,ALP,7.7
Paterson,Paterson,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/pate/,ALP,10.7
Pearce,Pearce,WA,https://www.abc.net.au/news/elections/federal/2019/guide/pear/,LIB,3.6
Perth,Perth,WA,https://www.abc.net.au/news/elections/federal/2019/guide/pert/,ALP,3.3
Petrie,Petrie,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/petr/,LNP,1.6
Rankin,Rankin,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/rank/,ALP,11.3
Reid,Reid,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/reid/,LIB,4.7
Richmond,Richmond,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/rich/,ALP,4.0
Riverina,Riverina,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/rive/,NAT,16.4
Robertson,Robertson,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/robe/,LIB,1.1
Ryan,Ryan,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/ryan/,LNP,9.0
Scullin,Scullin,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/scul/,ALP,19.6
Shortland,Shortland,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/shor/,ALP,9.9
