,first_name,family_name,party,electorate,sitting,website,twitter,facebook,instagram
Paris King Orsborn,Paris,King Orsborn,UAP,Grayndler,False,,,grayndler-uap-397819421047414,
Pat Conroy,Pat,Conroy,ALP,Shortland,True,,patconroy1,patconroymp,patconroymp
Patrick Conaghan,Patrick,Conaghan,NAT,Cowper,False,,,patrick-conaghan-candidate-for-cowper-1159459864219222,
Patrick Deegan,Patrick,Deegan,ALP,Page,False,,,patrick4page,
Patrick Gorman,Patrick,Gorman,ALP,Perth,True,https://www.alp.org.au/our-people/our-people/patrick-gorman/,mrpatrickgorman,patrickforperth,mrpatrickgorman
Patrick McGinlay,Patrick,McGinlay,GRN,Eden-Monaro,False,https://greens.org.au/nsw/person/pat-mcginlay,,,
Patsy O'Brien,Patsy,O'Brien,GRN,Moreton,False,https://greens.org.au/qld/person/patsy-obrien,,patsygreens,patsyformoreton
Paul Bambrick,Paul,Bambrick,GRN,Capricornia,False,http://greens.org.au/,,,
Paul Boundy,Paul,Boundy,GRN,Sturt,False,https://greens.org.au/sa/person/paul-boundy,,,
Paul Creighton,Paul,Creighton,UAP,Forde,False,,,paulcreightonuap,
Paul Davies,Paul,Davies,UAP,Hunter,False,,,hunter-uap-2145278145562060,
Paul Fletcher,Paul,Fletcher,LIB,Bradfield,True,,paulfletchermp,paulfletchermp,
Paul Henselin,Paul,Henselin,ONP,Fairfax,False,https://www.onenation.org.au/our-team/paul-henselin/,,henselinforfairfax,
Paul Kennedy,Paul,Kennedy,GRN,Jagajaga,False,https://greens.org.au/vic/person/paul-kennedy,,paul-kennedy-greens-for-jagajaga-571049176696511,
Paul Monaghan,Paul,Monaghan,LAL,Fisher,False,http://www.loveaustraliaorleave.com.au/candidates.html,loveausorleave,love-australia-or-leave-192189997783220,
Paul Newbury,Paul,Newbury,ALP,Brisbane,False,,paulnewburyalp,paulnewburyalp,paulnewburyalp
Peta Murphy,Peta,Murphy,ALP,Dunkley (*),False,https://www.alp.org.au/our-people/our-people/peta-murphy/,,petamurphydunkley,petamurphylabordunkley
Peter Bain,Peter,Bain,LIB,Fraser,False,https://vic.liberal.org.au/PeterBain,,,
Peter Cossar,Peter,Cossar,ALP,Ryan,False,,,arealvoiceforryan,
Peter Cozyn,Peter,Cozyn,UAP,Ballarat,False,,,petercozynuap,
Peter Dutton,Peter,Dutton,LNP,Dickson,True,https://www.peterdutton.com.au/,peterdutton_mp,peterduttonmp,
Peter Khalil,Peter,Khalil,ALP,Wills,True,https://www.alp.org.au/our-people/our-people/peter-khalil/,peterkhalilmp,peterkhalilwillslabor,
Peter McLernon,Peter,McLernon,UAP,Swan,False,,,swan-uap-589317531541231,
Peter Salerno,Peter,Salerno,UAP,Boothby,False,,,boothby-uap-620968371687325,
Peter Schuback,Peter,Schuback,AFN,Longman,False,https://australiafirstparty.net/campaigns/2019-campaigns/,,dr-jim-saleam-for-cootamundra-for-an-ideological-revolution-533489096994770,
Peter Swift,Peter,Swift,WAP,O'Connor,False,https://westernaustraliaparty.org.au/,,,
Peter Vagg,Peter,Vagg,UAP,North Sydney,False,,,north-sydney-uap-600598713741464,
Peter Walter,Peter,Walter,UAP,Canberra,False,,,canberra-uap-2162889784041204,
Peter Westcott,Peter,Westcott,UAP,Cowan,False,,,cowan-uap-2066966700051740,
Peter Xing,Peter,Xing,SCP,Bennelong,False,,,,
Petrus Van Der Steen,Petrus,Van Der Steen,UAP,Parkes,False,,,parkes-uap-628879607561645,
Phil Bradley,Phil,Bradley,GRN,Parramatta,False,https://greens.org.au/nsw/person/phil-bradley,,greens4parramatta,
Phil Costa,Phil,Costa,ALP,Lyne,False,https://www.alp.org.au/our-people/our-people/phil-costa/,,,
Phill Parsons,Phill,Parsons,GRN,Braddon,False,https://greens.org.au/tas/person/phill-parsons,,phill-parsons-greens-candidate-for-braddon-408712186612901,
Phillip Fusco,Phillip,Fusco,LIB,McEwen,False,,,,
Phillip Thompson,Phillip,Thompson,LNP,Herbert,False,https://www.lnp.org.au/phillip-thompson/,,,
Pru Wawm,Pru,Wawm,GRN,Mackellar,False,https://greens.org.au/nsw/person/pru-wawn,,pruwawngreens,
Qiu Yue (Viki) Zhang,Qiu Yue (Viki),Zhang,GRN,Bennelong,False,https://greens.org.au/nsw/person/qiu-yue-viki-zhang,,qiuyuezhangviki,
Raj Samson,Raj,Samson,UAP,Solomon,False,,,solomon-uap-1707778972657321,
Ray Kingston,Ray,Kingston,IND,Mallee,False,https://www.raykingston.com.au/,,,
Raymond Zeng,Raymond,Zeng,SCP,Watson,False,,,,
Rebecca Scorgie,Rebecca,Scorgie,GRN,Fraser,False,https://greens.org.au/vic/person/rebecca-scorgie,,,
Rebekha Sharkie,Rebekha,Sharkie,CA,Mayo,True,,,,
Reginald Wright,Reginald,Wright,UAP,Banks,False,,,banks-uap-759095944465289,
Rex Host,Rex,Host,AUC,Moore,False,,,,
Richard Foley,Richard,Foley,UAP,Riverina,False,,,riverina-uap-379430626230003,
Richard Marles,Richard,Marles,ALP,Corio,True,,richardmarlesmp,richardmarlesmp,
Richard Pascoe,Richard,Pascoe,ALP,Hinkler,False,https://www.alp.org.au/our-people/our-people/richard-pascoe/,,richardpascoelabor,
Richard Turton,Richard,Turton,UAP,Gorton,False,,,richardturtonuap,
Richard Welch,Richard,Welch,LIB,Jagajaga,False,https://vic.liberal.org.au/RichardWelch,,richard-welch-liberal-for-jagajaga-1087509334767867,
Rick Millar,Rick,Millar,UAP,Mallee,False,,,rickimillaruap,
Rick Wilson,Rick,Wilson,LIB,O'Connor,True,,,rickwilsonmp,rickwilsonmp
Riley Munro,Riley,Munro,LIB,Macarthur,False,https://nsw.liberal.org.au/Library/Members/Federal/Riley-Munro,,,
Rob Mitchell,Rob,Mitchell,ALP,McEwen,True,,robmitchellmp,113830088678537,
Rob Oakeshott,Rob,Oakeshott,IND,Cowper,False,https://www.oakeshott.com.au/,roboakeshott1,roboakeshott1,roboakeshott1
Robert Forster,Robert,Forster,UAP,Pearce,False,,,,
Robert Holian,Robert,Holian,GRN,Bendigo,False,https://greens.org.au/vic/person/robert-holian,,,
Robert Humphreys,Robert,Humphreys,GRN,Menzies,False,https://greens.org.au/vic/person/robert-humphreys,,,
Robert Knight,Robert,Knight,PROG,Canberra,False,https://www.progressives.org.au/our-people/,,,
Robert Marks,Robert,Marks,UAP,Robertson,False,,,robertson-uap-653545738396967,
Robert Shearman,Robert,Shearman,LNP,Blair,False,https://www.liberal.org.au/member/robert-shearman,,10157009666402464,
Rod Chilcott,Rod,Chilcott,UAP,Moore,False,,,moore-uap-2059913997458326,
Rod Whitfield,Rod,Whitfield,AJP,Scullin,False,https://www.ajpvic.org.au/2019_federal_election_candidates,,,
Ron Fielder,Ron,Fielder,UAP,Spence,False,,,,
Ronald Jean,Ronald,Jean,UAP,Dunkley (*),False,,,ronaldjeanuap,
Rosa Hillam,Rosa,Hillam,GRN,Barker,False,https://greens.org.au/sa/person/rosa-hillam,,rosa-hillam-greens-federal-candidate-for-barker-705881033079585,
