,first_name,family_name,party,electorate,sitting,website,twitter,facebook,instagram
Warren Mundine,Warren,Mundine,LIB,Gilmore,False,,nyunggai,nyunggai,
Warren Snowdon,Warren,Snowdon,ALP,Lingiari,True,,manwiththemo,snowdonmp,
Wayne Connolly,Wayne,Connolly,UAP,Goldstein,False,,,wayneconnollyuap,
Wayne Sanford,Wayne,Sanford,ALP,Forrest,False,https://www.alp.org.au/our-people/our-people/wayne-sanford/,,,
Wayne Swan,Wayne,Swan,ALP,Lilley,True,,swannyqld,wayne.swan.mp,
William Hornstra,William,Hornstra,GRN,Monash,False,https://greens.org.au/vic/person/william-hornstra,,williamhornstragreens,
Wylie Campbell,Wylie,Campbell,GRN,Shortland,False,https://greens.org.au/nsw/person/wylie-campbell,,,
Yvonne Langenberg,Yvonne,Langenberg,ALP,New England,False,https://www.alp.org.au/our-people/our-people/yvonne-langenberg/,,labor4newengland,yvonnenewengland
Zac Beers,Zac,Beers,ALP,Flynn,False,https://www.alp.org.au/our-people/our-people/zac-beers/,,zacbeersforflynn,
Zali Steggall,Zali,Steggall,IND,Warringah,False,https://www.zalisteggall.com.au/,zalisteggall,zali4warringah,zalisteggall
