,name,state,url,party,margin
Adelaide,Adelaide,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/adel/,ALP,8.3
Aston,Aston,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/asto/,LIB,7.4
Ballarat,Ballarat,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/ball/,ALP,7.4
Banks,Banks,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bank/,LIB,1.4
Barker,Barker,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bark/,LIB,13.9
Barton,Barton,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bart/,ALP,8.3
Bass,Bass,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bass/,ALP,5.4
Bean,Bean,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bean/,ALP,8.9
Bendigo,Bendigo,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bend/,ALP,3.9
Bennelong,Bennelong,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/benn/,LIB,9.7
Berowra,Berowra,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,LIB,16.4
Blair,Blair,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/blai/,ALP,8.1
Blaxland,Blaxland,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/blax/,ALP,19.5
Bonner,Bonner,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bonn/,LNP,3.4
Boothby,Boothby,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/boot/,LIB,2.7
Bowman,Bowman,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bowm/,LNP,7.1
Braddon,Braddon,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/brad/,ALP,1.7
Bradfield,Bradfield,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/brfd/,LIB,21.0
Brand,Brand,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bran/,ALP,11.4
Brisbane,Brisbane,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bris/,LNP,6.0
Bruce,Bruce,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bruc/,ALP,14.0
Burt,Burt,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/burt/,ALP,7.1
Calare,Calare,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/cala/,NAT,11.8
Calwell,Calwell,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/calw/,ALP,19.7
Canberra,Canberra,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/canb/,ALP,12.9
Canning,Canning,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/cann/,LIB,6.8
Capricornia,Capricornia,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/capr/,LNP,0.6
Casey,Casey,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/case/,LIB,4.5
Chifley,Chifley,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/chif/,ALP,19.2
Chisholm,Chisholm,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/chis/,LIB,2.9
Clark,Clark,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/clar/,IND,17.8
Cook,Cook,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/cook/,LIB,15.4
